"description","Total lipid (fat)","Carbohydrate, by difference","Protein","Energy","cluster"
"Apples, fuji, with skin, raw",0.16125,15.67558125,0.14921875,65,"2"
"Apples, gala, with skin, raw",0.15,14.78404375,0.13140625,61,"2"
"Apples, granny smith, with skin, raw",0.13875,14.1714875,0.2678125,59,"2"
"Apples, honeycrisp, with skin, raw",0.1,14.69096875,0.10078125,60,"2"
"Apples, red delicious, with skin, raw",0.21125,14.79085,0.18875,62,"2"
"Bananas, overripe, raw",0.22,20.1,0.73,85,"2"
"Bananas, ripe and slightly ripe, raw",0.29,23,0.74,97,"2"
"Beans, snap, green, canned, regular pack, drained solids",0.39,4.11,1.04,21,"2"
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"""" fat, select, cooked, roasted",6.36,0,27.7,176,"2"
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"""" fat, choice, raw",6.39,0,22.8,155,"2"
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"""" fat, select, raw",2.48,0,23.4,122,"2"
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"""" fat, select, raw",2.41,0,23.7,123,"2"
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"""" fat, select, raw",5.32,0,22.7,145,"2"
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"""" fat, choice, cooked, grilled",11.4,0,27.3,219,"3"
"Bread, white, commercially prepared",3.59,49.2,9.43,270,"1"
"Bread, whole-wheat, commercially prepared",3.55,43.1,12.3,254,"1"
"Broccoli, raw",0.34,6.28,2.57,31.5,"2"
"Carrots, frozen, unprepared",0.47,7.92,0.81,37,"2"
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.47,7.92,0.81,37,"2"
"Cheese, American, restaurant",31.1,6.35,17.5,375,"3"
"Cheese, cheddar",34,2.44,23.3,408,"3"
"Cheese, cottage, lowfat, 2% milkfat",2.3,4.31,11,84,"2"
"Cheese, dry white, queso seco",24.3,2.07,24.5,326,"3"
"Cheese, mozzarella, low moisture, part-skim",20.4,4.44,23.7,298,"3"
"Cheese, parmesan, grated",28,12.4,29.6,421,"3"
"Cheese, pasteurized process, American, vitamin D fortified",30.6,5.27,18,366,"3"
"Cheese, ricotta, whole milk",11,6.86,7.81,157,"2"
"Cheese, swiss",31,1.44,27,393,"3"
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",3.24,0,32.1,166,"2"
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",5.95,0,23.9,156,"2"
"Cookies, oatmeal, soft, with raisins",14.3,69.6,5.79,430,"1"
"Egg, white, dried",0.65,6.02,79.9,376,"3"
"Egg, white, raw, frozen, pasteurized",0.16,0.74,10.1,48,"2"
"Egg, whole, dried",39.8,1.87,48.1,575,"3"
"Egg, whole, raw, frozen, pasteurized",10.3,0.91,12.3,150,"2"
"Egg, yolk, dried",55.5,1.07,34.2,654,"3"
"Egg, yolk, raw, frozen, pasteurized",25.1,0.59,15.6,296,"3"
"Eggs, Grade A, Large, egg white",0,2.36,10.7,55,"2"
"Eggs, Grade A, Large, egg whole",9.96,0.96,12.4,148,"2"
"Eggs, Grade A, Large, egg yolk",28.8,1.02,16.2,334,"3"
"Figs, dried, uncooked",0.92,63.9,3.3,249,"1"
"Fish, haddock, raw",0.45,0,16.3,74,"2"
"Fish, pollock, raw",0.41,0,12.3,56,"2"
"Fish, tuna, light, canned in water, drained solids",0.94,0.08,19,90,"2"
"Flour, bread, white, enriched, unbleached",1.65,72.8,14.3,363,"1"
"Flour, corn, yellow, fine meal, enriched",1.74,80.8,6.2,364,"1"
"Flour, pastry, unenriched, unbleached",1.64,77.2,8.75,358,"1"
"Flour, rice, brown",3.85,75.5,7.19,365.25,"1"
"Flour, rice, glutinous",1.16,80.1,6.69,358,"1"
"Flour, rice, white, unenriched",1.3,79.8,6.94,359,"1"
"Flour, soy, defatted",3.33,32.9,51.1,366,"3"
"Flour, soy, full-fat",20.7,27.9,38.6,452,"3"
"Flour, wheat, all-purpose, enriched, bleached",1.48,77.3,10.9,366,"1"
"Flour, wheat, all-purpose, enriched, unbleached",1.48,73.2,13.1,358,"1"
"Flour, wheat, all-purpose, unenriched, unbleached",1.7,74.6,12,362,"1"
"Flour, whole wheat, unenriched",2.73,71.2,15.1,370,"1"
"Frankfurter, beef, unheated",28,2.89,11.7,314,"3"
"Garlic, raw",0.38,28.2,6.62,143,"2"
"Grapefruit juice, white, canned or bottled, unsweetened",0.7,7.59,0.55,37,"2"
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",3.73,0.27,16.7,106,"2"
"Ham, sliced, restaurant",3.68,2.36,19.6,121,"2"
"Hummus, commercial",17.1,14.9,7.35,229,"2"
"Kale, frozen, cooked, boiled, drained, without salt",1.21,5.3,2.94,36,"2"
"Kale, raw",1.49,4.42,2.92,35,"2"
"Ketchup, restaurant",0.55,26.8,1.11,117,"2"
"Kiwifruit, green, raw",0.44,14,1.06,58,"2"
"Lettuce, cos or romaine, raw",0.26,3.24,1.24,17,"2"
"Melons, cantaloupe, raw",0.18,8.16,0.82,34,"2"
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0.95,5.185,3.38,43,"2"
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.08,4.905,3.43,34,"2"
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.9,4.905,3.355,50,"2"
"Milk, whole, 3.25% milkfat, with added vitamin D",3.2,4.65,3.275,60,"2"
"Mustard, prepared, yellow",3.38,5.3,4.25,61,"2"
"Nectarines, raw",0.28,9.18,1.06,39,"2"
"Nuts, almonds, dry roasted, with salt added",57.8,16.2,20.4,620,"3"
"Oil, coconut",99.1,0.84,0,833,"3"
